term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
BMI_CV_W3,1.0249961563306036,0.013754426952047956,0.01273892797419536,1.9380643890906022,0.05261536739940144,0.9997210615414732,1.0509102597804243,W3,Adjusted
BASELINE_AGE,1.1136261817474131,0.011007971387643693,0.010510241625256586,10.239680976625603,1.3166981485246029e-24,1.0909204900805727,1.1368044545407034,W3,Adjusted
RAGENDERFemale,0.8549938136856701,0.10161501139177875,0.10220332223645012,-1.5328371142815693,0.1253159934848754,0.6997893791025294,1.0446206291074074,W3,Adjusted
RACE_ETH3Non-Hispanic Black,2.1031074515176265,0.12321528612193212,0.12310537147293368,6.03885907591033,1.5520771861812545e-9,1.6522432258778417,2.6770035327449935,W3,Adjusted
RACE_ETH3Hispanic or Other,1.2408300576391247,0.1533172450070084,0.15476704770736235,1.3942280361753407,0.16324875424861487,0.9161663898370559,1.6805454216832258,W3,Adjusted
RAEDUCGED,0.6737351299214824,0.21338560735022163,0.21817735982488873,-1.810078863989008,0.07028355814599642,0.43931525841988284,1.033242111651119,W3,Adjusted
RAEDUCHigh school graduate,0.5667906343583298,0.12504016625525194,0.1255882058408984,-4.520848842576975,6.1592157539998564e-6,0.4431204475110935,0.7249758502472973,W3,Adjusted
RAEDUCCollege or above,0.4483742530875172,0.12625702814603768,0.12693586161154088,-6.319152040790427,2.6300242344455295e-10,0.34961709905472,0.5750275698052271,W3,Adjusted
LN_WEALTH,0.9620865641547419,0.008039632062370886,0.0073431928812653265,-5.263493613858019,1.4134341960996455e-7,0.9483390031272037,0.9760334161885371,W3,Adjusted
CHRONIC_N,1.0252373047219745,0.04040763619885002,0.04169364019139121,0.5977914732800208,0.5499790808116526,0.9447887413918045,1.1125360463601062,W3,Adjusted
HAS_INSHas insurance,0.4968177358068884,0.3129009304988405,0.30965312511666143,-2.2590827999626115,0.023878234847762803,0.2707820509172902,0.9115370157517428,W3,Adjusted
EMP_STATUSUnemployed/Not in labor force,2.3404646748236697,0.34615423004873214,0.34052237141808245,2.4971912567701926,0.012518142026263624,1.2007398455012865,4.561999765911488,W3,Adjusted
